style,price,rating,size,season,neck line,sleeve length,waiseline,material,pattern type,recommendation
sexy,low,4.6,m,summer,o-neck,sleeveless,empire,null,animal,1
casual,low,0,l,summer,o-neck,petal,natural,microfiber,animal,0
vintage,high,0,l,autumn,o-neck,full,natural,polyster,print,0
brief,average,4.6,l,spring,o-neck,full,natural,silk,print,1
cute,low,4.5,m,summer,o-neck,butterfly,natural,chiffon,dot,0
bohemian,low,0,m,summer,v-neck,sleeveless,empire,null,print,0
casual,average,0,xl,summer,o-neck,full,null,cotton,solid,0
novelty,average,0,free,autumn,o-neck,short,natural,polyster,null,0
flare,average,0,free,spring,v-neck,short,empire,cotton,solid,1
bohemian,low,0,free,summer,v-neck,sleeveless,natural,nylon,null,1
party,average,5,free,summer,o-neck,full,natural,polyster,solid,0
flare,average,0,free,spring,v-neck,short,null,nylon,animal,0
sexy,low,4.7,m,winter,o-neck,threequarter,null,null,print,1
vintage,average,4.8,m,summer,o-neck,short,empire,cotton,animal,1
casual,low,5,m,summer,boat-neck,short,null,cotton,solid,0
casual,low,0,free,winter,boat-neck,full,null,other,null,0
cute,average,4.7,l,spring,o-neck,short,null,cotton,solid,1
bohemian,average,5,free,autumn,o-neck,full,natural,null,patchwork,1
brief,average,0,m,winter,peterpan-collor,threequarter,natural,cotton,patchwork,0
sexy,average,5,m,autumn,o-neck,sleeveless,empire,milksilk,null,1
sexy,average,4.5,l,autumn,o-neck,full,null,cotton,solid,0
casual,low,4.3,m,summer,o-neck,sleeveless,natural,null,solid,0
brief,low,4,xl,summer,v-neck,short,natural,cotton,solid,0
sexy,average,4.7,s,summer,v-neck,sleeveless,empire,cotton,solid,1
sexy,average,0,free,autumn,v-neck,sleeveless,natural,polyster,patchwork,0
sexy,average,0,m,autumn,o-neck,sleeveless,empire,cotton,print,0
sexy,average,4.7,m,spring,o-neck,sleeveless,natural,null,solid,1
casual,low,0,l,summer,o-neck,sleeveless,natural,cotton,print,0
cute,low,4.3,free,autumn,o-neck,sleeveless,natural,polyster,striped,0
cute,low,4.7,m,spring,ruffled,short,empire,chiffon,dot,1
casual,average,4.6,l,autumn,o-neck,sleeveless,empire,polyster,solid,0
casual,low,0,m,spring,o-neck,sleeveless,natural,silk,solid,1
casual,average,4.4,l,autumn,o-neck,sleeveless,natural,linen,animal,0
brief,average,4.3,l,spring,o-neck,sleeveless,empire,null,solid,1
party,high,4.7,m,spring,o-neck,threequarter,null,null,print,0
casual,low,4.6,free,winter,boat-neck,full,natural,cotton,patchwork,1
vintage,average,4.6,free,winter,o-neck,full,natural,null,print,1
brief,average,0,m,autumn,o-neck,short,natural,cotton,print,0
party,average,4.6,m,winter,o-neck,sleeveless,natural,cotton,solid,1
casual,average,4.5,m,spring,v-neck,short,empire,cotton,solid,1
brief,average,5,free,spring,v-neck,sleeveless,natural,cotton,solid,1
brief,low,4.4,l,autumn,o-neck,half-sleeve,natural,rayon,solid,0
casual,average,4.8,m,winter,o-neck,short,natural,lycra,patchwork,0
casual,low,4.8,free,spring,o-neck,sleeveless,natural,cotton,print,0
vintage,average,4.8,m,winter,o-neck,sleeveless,natural,cotton,patchwork,1
sexy,average,0,m,winter,o-neck,short,natural,null,solid,0
sexy,average,4.8,l,spring,v-neck,threequarter,empire,polyster,geometric,0
casual,average,0,m,summer,o-neck,half-sleeve,natural,cotton,dot,1
casual,low,4.7,m,summer,o-neck,sleeveless,empire,milksilk,solid,0
casual,average,0,l,winter,boat-neck,full,empire,null,solid,1
sexy,low,5,free,summer,v-neck,sleeveless,empire,null,animal,1
casual,low,4.3,free,summer,o-neck,sleeveless,null,milksilk,animal,0
casual,average,0,l,spring,o-neck,half-sleeve,natural,polyster,solid,1
casual,average,4.6,free,autumn,o-neck,sleeveless,natural,polyster,solid,1
sexy,average,4.5,m,spring,o-neck,threequarter,natural,polyster,geometric,0
novelty,average,0,s,winter,turndown-collor,full,natural,cotton,patchwork,0
casual,average,4.9,s,winter,turndown-collor,full,natural,cotton,solid,1
sexy,low,4.6,l,autumn,o-neck,sleeveless,natural,null,solid,1
bohemian,low,4.5,m,summer,v-neck,sleeveless,natural,polyster,print,1
work,average,0,m,autumn,slash-neck,sleeveless,natural,polyster,patchwork,0
cute,high,0,m,spring,v-neck,full,natural,rayon,solid,1
casual,average,0,free,spring,o-neck,short,natural,cotton,plaid,0
casual,average,5,m,summer,o-neck,short,empire,polyster,animal,0
casual,average,4.7,m,spring,o-neck,sleeveless,natural,null,solid,0
